Brand,Name,First Book Status,Second Book Status,Former Price,Current Price,Discount Percentage
Burberry,BE2344 Edison,Best Seller,Sustainable,$ 327.00,None,None
Ray-Ban,RB5268 Optics,Best Seller,None,$ 176.00,None,None
Oakley,OX8060 Overhead,Best Seller,None,$ 172.00,None,None
Ray-Ban,RB6448 Hexagonal Optics,None,None,$ 210.00,None,None
Oakley,OX8178 Rafter,Best Seller,Sustainable,$ 172.00,None,None
Coach,HC6232U,None,Universal Fit,$ 210.00,None,None
Ray-Ban,RB3857V Frank Optics,None,None,$ 210.00,None,None
Oakley,OX8163 Centerboard,Best Seller,None,$ 187.00,None,None
Armani Exchange,AX3108U,None,Sustainable,$ 132.00,None,None
Michael Kors,MK4060U Telluride,Best Seller,Sustainable,$ 161.00,None,None
Michael Kors,MK4110U Avila,Best Seller,Sustainable,$ 161.00,None,None
Ray-Ban,RB0298V Mega Hawkeye Optics,None,None,$ 222.00,None,None
Tory Burch,TY2142U,None,Sustainable,$ 208.00,None,None
Ray-Ban,RB7159 Optics,Best Seller,None,$ 222.00,None,None
Ralph by Ralph Lauren,RA7133U,None,Universal Fit,$ 141.00,None,None
Oakley,OX8039 Chamfer™,None,Sustainable,$ 227.00,None,None
Ralph by Ralph Lauren,RA7146,None,None,$ 141.00,None,None
Oakley,OX3218 Socket 5.5,Best Seller,None,$ 227.00,None,None
Ray-Ban,RB6335 Optics,Best Seller,None,$ 210.00,None,None
Ray-Ban,RB1536 Optics Kids,Kids,None,$ 110.00,None,None
Michael Kors,MK3012 Adrianna IV,Best Seller,None,$ 186.00,None,None
Oakley,OX8055 Exchange,Best Seller,None,$ 242.00,None,None
Ray-Ban,RB7185,None,None,$ 162.00,None,None
Ray-Ban,RB5418 Optics,None,None,$ 210.00,None,None
Armani Exchange,AX1018,Best Seller,None,$ 153.00,None,None
Ray-Ban,RB7140 Optics,Best Seller,None,$ 237.00,None,None
Vogue Eyewear,VO5420,None,None,$ 128.00,None,None
